INT ,INT ,ALPHA ,INT ,INT ,ALPHA ,ALPHA ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL ,ALPHA ,DD/MM/YY ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,ALPHA ,INT ,INT ,INT ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,ALPHA ,INT ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,INT ,DD/MM/YY ,INT ,INT ,DD/MM/YY ,ALPHA ,REAL ,REAL 
Row_Number,Tree,Variety,Variety_Id,Treatment,Density,Training,Observation,Date_Observation,Gu_Code,Length,D20150722,Position,Date_Burst,Growing_Cycle,Orientation,Divergent_Angle,Divergent_Orientation,Deflection_Angle,Nb_Leaf,Parent_Node,Entity,Nb_Daughter,Nb_Apical,Nb_Lateral,Daughter_Arrangement,Bent,Date_Bent,Remove_Branch,Pruned,Damage,Flower,Nb_Flower_Apical,Nb_Flower_Lateral,Date_Apical_Flower1,Flower_Type_Apical_Flower1,Remove_Apical_Flower1,Date_Remove_Apical_Flower1,Fruit_Apical_Flower1,Nb_Fruit_Apical_Flower1,Date_Lateral_Flower1,Flower_Type_Lateral_Flower1,Remove_Lateral_Flower1,Date_Remove_Lateral_Flower1,Fruit_Lateral_Flower1,Nb_Fruit_Lateral_Flower1,Date_Lateral_Flower2,Flowertype_Lateral_Flower2,Remove_Lateral_Flower2,Date_Remove_Lateral_Flower2,Fruit_Lateral_Flower2,Nb_Fruit_Lateral_Flower2,Date_Lateral_Flower3,Flowertype_Lateral_Flower3,Remove_Lateral_Flower3,Date_Remove_Lateral_Flower3,Fruit_Lateral_Flower3,Nb_Fruit_Lateral_Flower3,Date_Lateral_Flower4,Flowertype_.Lateral_Flower4,Remove_Lateral_Flower4,Date_Remove_Lateral_Flower4,Fruit_Lateral_Flower4,Nb_Fruit_Lateral_Flower4,Date_Pruned,Type_Pruned,Length_Pruned,Top_Diameter_Pruned
8869,42,Keitt,3,2,Medium,Conventional ,1,23/09/2014,0,11,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8870,42,Keitt,3,2,Medium,Conventional ,1,23/09/2014,0.0,3.5,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8871,42,Keitt,3,2,Medium,Conventional ,1,23/09/2014,0.0.0,14,NA,A,,NA,V,NA,,NA,NA,NA,S,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8872,42,Keitt,3,2,Medium,Conventional ,1,23/09/2014,0.0.0.0,25,29.63,A,,NA,V,NA,,NA,NA,NA,S,3,0,3,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8873,42,Keitt,3,2,Medium,Conventional ,1,23/09/2014,0.0.0.0.1,7.5,26.29,L,,14,I,NA,,NA,NA,NA,B,3,1,2,W,0,,0,0,,1,0,1,,,,,NA,NA,11/08/2014,,1,11/09/2014,0,0,,,1,11/09/2014,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8874,42,Keitt,3,2,Medium,Conventional ,1,23/09/2014,0.0.0.0.1.0,4,33.32,A,,14,V,NA,,NA,NA,NA,B,1,0,1,,0,,0,1,,1,0,1,,,,,NA,NA,11/08/2014,,1,11/09/2014,0,0,,,1,11/09/2014,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8875,42,Keitt,3,2,Medium,Conventional ,2,5/11/2014,0.0.0.0.1.0.1,15,16.71,L,,14,V,NA,,NA,NA,NA,B,1,1,0,,0,,0,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,NA,NA,NA,NA
8876,42,Keitt,3,2,Medium,Conventional ,2,5/11/2014,0.0.0.0.1.0.1.0,12.5,16.24,A,,14,V,NA,,NA,NA,NA,B,5,0,5,A,0,,0,1,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,25/02/2015,,3,12.6
8877,42,Keitt,3,2,Medium,Conventional ,4,25/02/2015,0.0.0.0.1.0.1.0.1,16,NA,L,17/11/2014,15,V,NA,,NA,NA,NA,B,1,1,0,,0,,1,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,25/02/2015,C,,
8878,42,Keitt,3,2,Medium,Conventional ,4,25/02/2015,0.0.0.0.1.0.1.0.1.0,18,NA,A,7/01/2015,15,V,NA,,NA,NA,NA,B,1,1,0,,0,,1,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,25/02/2015,C,,
8879,42,Keitt,3,2,Medium,Conventional ,4,25/02/2015,0.0.0.0.1.0.1.0.1.0.0,NA,NA,A,20/02/2015,15,V,NA,,NA,NA,NA,B,0,0,0,,0,,1,0,,0,NA,NA,,,,,NA,NA,,,NA,,NA,NA,,,,,NA,NA,,,,,,NA,,,NA,,NA,NA,25/02/2015,C,,
